Time_Index,natural_gas_combined_cycle,solar_pv_scen_1,onshore_wind_scen_1,solar_pv_scen_2,onshore_wind_scen_2,solar_pv_scen_3,onshore_wind_scen_3,solar_pv_scen_4,onshore_wind_scen_4,solar_pv_scen_5,onshore_wind_scen_5,battery
106,1,0.2804,0.26502341,0.29442,0.278274581,0.30844,0.291525751,0.26638,0.25177224,0.25236,0.238521069,1
107,1,0.4372,0.246666133,0.45906,0.25899944,0.48092,0.271332746,0.41534,0.234332826,0.39348,0.22199952,1
108,1,0.5913,0.209545553,0.620865,0.220022831,0.65043,0.230500108,0.561735,0.199068275,0.53217,0.188590998,1
109,1,0.5349,0.213271856,0.561645,0.223935449,0.58839,0.234599042,0.508155,0.202608263,0.48141,0.19194467,1
110,1,0.4854,0.353414446,0.50967,0.371085168,0.53394,0.388755891,0.46113,0.335743724,0.43686,0.318073001,1
111,1,0.3973,0.410481691,0.417165,0.431005776,0.43703,0.45152986,0.377435,0.389957606,0.35757,0.369433522,1
112,1,0.2948,0.808897853,0.30954,0.849342746,0.32428,0.889787638,0.28006,0.76845296,0.26532,0.728008068,1
113,1,0.0897,0.773383021,0.094185,0.812052172,0.09867,0.850721323,0.085215,0.73471387,0.08073,0.696044719,1
114,1,0,0.809938967,0,0.850435915,0,0.890932864,0,0.769442019,0,0.72894507,1
115,1,0,0.685354233,0,0.719621945,0,0.753889656,0,0.651086521,0,0.61681881,1
116,1,0,0.45875603,0,0.481693832,0,0.504631633,0,0.435818229,0,0.412880427,1
117,1,0,0.479708195,0,0.503693605,0,0.527679015,0,0.455722785,0,0.431737376,1
118,1,0,0.097237095,0,0.10209895,0,0.106960805,0,0.09237524,0,0.087513386,1
119,1,0,0.373140395,0,0.391797415,0,0.410454435,0,0.354483375,0,0.335826356,1
120,1,0,0.167982742,0,0.176381879,0,0.184781016,0,0.159583605,0,0.151184468,1
121,1,0,0.333688021,0,0.350372422,0,0.367056823,0,0.31700362,0,0.300319219,1
122,1,0,0.298790157,0,0.313729665,0,0.328669173,0,0.283850649,0,0.268911141,1
123,1,0,0.152139187,0,0.159746146,0,0.167353106,0,0.144532228,0,0.136925268,1
124,1,0,0.069804139,0,0.073294346,0,0.076784553,0,0.066313932,0,0.062823725,1
125,1,0,0.148644954,0,0.156077202,0,0.163509449,0,0.141212706,0,0.133780459,1
126,1,0,0.209140733,0,0.21959777,0,0.230054806,0,0.198683696,0,0.18822666,1
127,1,0,0.241903529,0,0.253998705,0,0.266093882,0,0.229808353,0,0.217713176,1
128,1,0,0.232758492,0,0.244396417,0,0.256034341,0,0.221120567,0,0.209482643,1
129,1,0.1023,0.433448523,0.107415,0.455120949,0.11253,0.476793375,0.097185,0.411776097,0.09207,0.390103671,1
130,1,0.2939,0.529960155,0.308595,0.556458163,0.32329,0.582956171,0.279205,0.503462147,0.26451,0.47696414,1
131,1,0.5036,0.251590341,0.52878,0.264169858,0.55396,0.276749375,0.47842,0.239010824,0.45324,0.226431307,1
132,1,0.62,0.253996432,0.651,0.266696254,0.682,0.279396075,0.589,0.24129661,0.558,0.228596789,1
133,1,0.5947,0.216716677,0.624435,0.227552511,0.65417,0.238388345,0.564965,0.205880843,0.53523,0.195045009,1
134,1,0.4261,0.300185502,0.447405,0.315194777,0.46871,0.330204052,0.404795,0.285176227,0.38349,0.270166952,1
135,1,0.3649,0.177140608,0.383145,0.185997638,0.40139,0.194854669,0.346655,0.168283578,0.32841,0.159426547,1
136,1,0.1992,0.133263707,0.20916,0.139926892,0.21912,0.146590078,0.18924,0.126600522,0.17928,0.119937336,1
137,1,0.0151,0.281703651,0.015855,0.295788834,0.01661,0.309874016,0.014345,0.267618468,0.01359,0.253533286,1
138,1,0,0.410258323,0,0.430771239,0,0.451284155,0,0.389745407,0,0.369232491,1
139,1,0,0.348620415,0,0.366051436,0,0.383482457,0,0.331189394,0,0.313758374,1
140,1,0,0.174488172,0,0.183212581,0,0.191936989,0,0.165763763,0,0.157039355,1
141,1,0,0.299336016,0,0.314302817,0,0.329269618,0,0.284369215,0,0.269402414,1
142,1,0,0.315609783,0,0.331390272,0,0.347170761,0,0.299829294,0,0.284048805,1
143,1,0,0.392254978,0,0.411867727,0,0.431480476,0,0.372642229,0,0.35302948,1
144,1,0,0.403186232,0,0.423345544,0,0.443504855,0,0.38302692,0,0.362867609,1
145,1,0,0.358789206,0,0.376728666,0,0.394668127,0,0.340849746,0,0.322910285,1
146,1,0,0.444409281,0,0.466629745,0,0.488850209,0,0.422188817,0,0.399968353,1
147,1,0,0.514306784,0,0.540022123,0,0.565737462,0,0.488591445,0,0.462876106,1
148,1,0,0.481486499,0,0.505560824,0,0.529635149,0,0.457412174,0,0.433337849,1
149,1,0,0.336142361,0,0.352949479,0,0.369756597,0,0.319335243,0,0.302528125,1
150,1,0,0.100534089,0,0.105560793,0,0.110587498,0,0.095507385,0,0.09048068,1
151,1,0,0.068419948,0,0.071840945,0,0.075261943,0,0.064998951,0,0.061577953,1
152,1,0,0.072928362,0,0.07657478,0,0.080221198,0,0.069281944,0,0.065635526,1
153,1,0.1883,0.159622043,0.197715,0.167603145,0.20713,0.175584247,0.178885,0.151640941,0.16947,0.143659839,1
154,1,0.4067,0.259901762,0.427035,0.27289685,0.44737,0.285891938,0.386365,0.246906674,0.36603,0.233911586,1
155,1,0.5478,0.33179459,0.57519,0.34838432,0.60258,0.364974049,0.52041,0.315204861,0.49302,0.298615131,1
156,1,0.6386,0.216174215,0.67053,0.226982926,0.70246,0.237791637,0.60667,0.205365504,0.57474,0.194556794,1
157,1,0.6504,0.219760895,0.68292,0.23074894,0.71544,0.241736985,0.61788,0.20877285,0.58536,0.197784806,1
