Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,467,51779,2301
,,,,,,,,468,53573,2381
,,,,,,,,469,58169,2585
,,,,,,,,470,60560,2691
,,,,,,,,471,59075,2625
,,,,,,,,472,56374,2505
,,,,,,,,473,56677,2519
,,,,,,,,474,57092,2537
,,,,,,,,475,57572,2558
,,,,,,,,476,59111,2627
,,,,,,,,477,59664,2651
,,,,,,,,478,61453,2731
,,,,,,,,479,64182,2852
,,,,,,,,480,65443,2908
,,,,,,,,481,61770,2745
,,,,,,,,482,51875,2305
,,,,,,,,483,47644,2117
,,,,,,,,484,44150,1962
,,,,,,,,485,41043,1824
,,,,,,,,486,39340,1748
,,,,,,,,487,42941,1908
,,,,,,,,488,42136,1872
,,,,,,,,489,45372,2016
,,,,,,,,490,47860,2127
,,,,,,,,491,49838,2215
,,,,,,,,492,51898,2306
,,,,,,,,493,57180,2541
,,,,,,,,494,56882,2528
,,,,,,,,495,56674,2518
,,,,,,,,496,57663,2562
,,,,,,,,497,58528,2601
,,,,,,,,498,58306,2591
,,,,,,,,499,60283,2679
,,,,,,,,500,63624,2827
,,,,,,,,501,63116,2805
,,,,,,,,502,62495,2777
,,,,,,,,503,62433,2774
,,,,,,,,504,60551,2691
,,,,,,,,505,60756,2700
,,,,,,,,506,61393,2728
,,,,,,,,507,58591,2604
,,,,,,,,508,55668,2474
,,,,,,,,509,52508,2333
,,,,,,,,510,49723,2209
,,,,,,,,511,45760,2033
,,,,,,,,512,43775,1945
,,,,,,,,513,45363,2016
,,,,,,,,514,46304,2057
,,,,,,,,515,48073,2136
,,,,,,,,516,49375,2194
,,,,,,,,517,52383,2328
,,,,,,,,518,52558,2335
,,,,,,,,519,53075,2358
,,,,,,,,520,54283,2412
,,,,,,,,521,55404,2462
,,,,,,,,522,55763,2478
,,,,,,,,523,58262,2589
,,,,,,,,524,62197,2764
,,,,,,,,525,62442,2775
,,,,,,,,526,62126,2761
