Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1_scen1,Load_MW_z1_scen2,Load_MW_z1_scen3,Load_MW_z2_scen1,Load_MW_z2_scen2,Load_MW_z2_scen3,Load_MW_z3_scen1,Load_MW_z3_scen2,Load_MW_z3_scen3
,,,,,,,,130,10901,11446.05,10355.95,3113,3268.65,2957.35,1486,1560.3,1411.7
,,,,,,,,131,10853,11395.65,10310.35,3100,3255,2945,1479,1552.95,1405.05
,,,,,,,,132,10692,11226.6,10157.4,3053,3205.65,2900.35,1458,1530.9,1385.1
,,,,,,,,133,10515,11040.75,9989.25,3003,3153.15,2852.85,1434,1505.7,1362.3
,,,,,,,,134,10423,10944.15,9901.85,2976,3124.8,2827.2,1421,1492.05,1349.95
,,,,,,,,135,10278,10791.9,9764.1,2935,3081.75,2788.25,1401,1471.05,1330.95
,,,,,,,,136,10327,10843.35,9810.65,2950,3097.5,2802.5,1408,1478.4,1337.6
,,,,,,,,137,10930,11476.5,10383.5,3121,3277.05,2964.95,1490,1564.5,1415.5
,,,,,,,,138,11507,12082.35,10931.65,3286,3450.3,3121.7,1569,1647.45,1490.55
,,,,,,,,139,11322,11888.1,10755.9,3234,3395.7,3072.3,1544,1621.2,1466.8
,,,,,,,,140,10996,11545.8,10446.2,3140,3297,2983,1499,1573.95,1424.05
,,,,,,,,141,10561,11089.05,10032.95,3016,3166.8,2865.2,1440,1512,1368
,,,,,,,,142,9994,10493.7,9494.3,2855,2997.75,2712.25,1363,1431.15,1294.85
,,,,,,,,143,9224,9685.2,8762.8,2635,2766.75,2503.25,1257,1319.85,1194.15
,,,,,,,,144,8432,8853.6,8010.4,2408,2528.4,2287.6,1150,1207.5,1092.5
,,,,,,,,145,7819,8209.95,7428.05,2234,2345.7,2122.3,1066,1119.3,1012.7
,,,,,,,,146,7480,7854,7106,2136,2242.8,2029.2,1020,1071,969
,,,,,,,,147,7296,7660.8,6931.2,2083,2187.15,1978.85,994,1043.7,944.3
,,,,,,,,148,7221,7582.05,6859.95,2063,2166.15,1959.85,984,1033.2,934.8
,,,,,,,,149,7293,7657.65,6928.35,2083,2187.15,1978.85,994,1043.7,944.3
