Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,222,8947.05,2555.7,1219.05
,,,,,,,,223,10387.65,2966.25,1416.45
,,,,,,,,224,11157.3,3186.75,1521.45
,,,,,,,,225,11198.25,3198.3,1526.7
,,,,,,,,226,11254.95,3214.05,1534.05
,,,,,,,,227,11259.15,3215.1,1535.1
,,,,,,,,228,11149.95,3184.65,1520.4
,,,,,,,,229,10966.2,3132.15,1495.2
,,,,,,,,230,10872.75,3104.85,1482.6
,,,,,,,,231,10775.1,3076.5,1468.95
,,,,,,,,232,10848.6,3097.5,1478.4
,,,,,,,,233,11558.4,3301.2,1576.05
,,,,,,,,234,12366.9,3531.15,1685.25
,,,,,,,,235,12275.55,3505.95,1673.7
,,,,,,,,236,11971.05,3418.8,1632.75
,,,,,,,,237,11521.65,3290.7,1570.8
,,,,,,,,238,10762.5,3073.35,1467.9
,,,,,,,,239,9761.85,2787.75,1330.35
,,,,,,,,240,8891.4,2538.9,1211.7
,,,,,,,,241,8339.1,2382.45,1137.15
,,,,,,,,242,8062.95,2302.65,1099.35
,,,,,,,,243,7935.9,2265.9,1081.5
,,,,,,,,244,7971.6,2276.4,1086.75
,,,,,,,,245,8221.5,2347.8,1120.35
,,,,,,,,246,9043.65,2581.95,1232.7
,,,,,,,,247,10490.55,2996.7,1431.15
,,,,,,,,248,11258.1,3215.1,1535.1
,,,,,,,,249,11259.15,3215.1,1535.1
,,,,,,,,250,11191.95,3196.2,1525.65
,,,,,,,,251,11152.05,3184.65,1520.4
,,,,,,,,252,11062.8,3159.45,1507.8
,,,,,,,,253,10907.4,3114.3,1486.8
,,,,,,,,254,10844.4,3097.5,1478.4
,,,,,,,,255,10741.5,3067.05,1463.7
,,,,,,,,256,10813.95,3088.05,1474.2
,,,,,,,,257,11513.25,3287.55,1569.75
,,,,,,,,258,12370.05,3533.25,1686.3
,,,,,,,,259,12323.85,3519.6,1680
,,,,,,,,260,12020.4,3433.5,1638
,,,,,,,,261,11559.45,3301.2,1576.05
,,,,,,,,262,10767.75,3075.45,1467.9
,,,,,,,,263,9738.75,2781.45,1328.25
,,,,,,,,264,8832.6,2522.1,1203.3
,,,,,,,,265,8234.1,2350.95,1122.45
,,,,,,,,266,7905.45,2257.5,1077.3
,,,,,,,,267,7750.05,2213.4,1056.3
,,,,,,,,268,7746.9,2212.35,1055.25
,,,,,,,,269,7987.35,2280.6,1088.85
,,,,,,,,270,8738.1,2494.8,1191.75
,,,,,,,,271,10088.4,2881.2,1375.5
,,,,,,,,272,11021.85,3147.9,1502.55
,,,,,,,,273,11281.2,3221.4,1537.2
,,,,,,,,274,11464.95,3274.95,1563.45
,,,,,,,,275,11626.65,3320.1,1584.45
,,,,,,,,276,11667.6,3331.65,1590.75
,,,,,,,,277,11621.4,3319.05,1584.45
,,,,,,,,278,11569.95,3304.35,1577.1
,,,,,,,,279,11416.65,3260.25,1556.1
,,,,,,,,280,11389.35,3252.9,1552.95
,,,,,,,,281,11932.2,3408.3,1627.5
,,,,,,,,282,12548.55,3583.65,1711.5
,,,,,,,,283,12421.5,3546.9,1693.65
,,,,,,,,284,12052.95,3441.9,1643.25
,,,,,,,,285,11546.85,3297,1573.95
,,,,,,,,286,10735.2,3066,1462.65
,,,,,,,,287,9713.55,2774.1,1324.05
,,,,,,,,288,8825.25,2520,1203.3
,,,,,,,,289,8201.55,2342.55,1118.25
,,,,,,,,290,7888.65,2252.25,1075.2
,,,,,,,,291,7739.55,2210.25,1054.2
,,,,,,,,292,7711.2,2202.9,1051.05
,,,,,,,,293,7919.1,2261.7,1079.4
,,,,,,,,294,8627.85,2464.35,1176
,,,,,,,,295,9976.05,2848.65,1359.75
,,,,,,,,296,10857,3100.65,1479.45
,,,,,,,,297,11028.15,3150,1503.6
,,,,,,,,298,11075.4,3162.6,1509.9
,,,,,,,,299,11090.1,3166.8,1512
,,,,,,,,300,11041.8,3153.15,1505.7
,,,,,,,,301,10941,3124.8,1492.05
,,,,,,,,302,10896.9,3112.2,1485.75
,,,,,,,,303,10855.95,3100.65,1479.45
,,,,,,,,304,11013.45,3144.75,1501.5
,,,,,,,,305,11698.05,3341.1,1594.95
,,,,,,,,306,12384.75,3537.45,1688.4
,,,,,,,,307,12272.4,3504.9,1673.7
,,,,,,,,308,11958.45,3415.65,1630.65
,,,,,,,,309,11560.5,3302.25,1576.05
,,,,,,,,310,10967.25,3132.15,1495.2
,,,,,,,,311,10171.35,2904.3,1387.05
,,,,,,,,312,9377.55,2677.5,1277.85
,,,,,,,,313,8758.05,2501.1,1193.85
,,,,,,,,314,8395.8,2398.2,1144.5
,,,,,,,,315,8192.1,2340.45,1117.2
,,,,,,,,316,8129.1,2321.55,1107.75
,,,,,,,,317,8214.15,2345.7,1119.3
,,,,,,,,318,8501.85,2428.65,1159.2
,,,,,,,,319,9041.55,2581.95,1232.7
,,,,,,,,320,9584.4,2737.35,1306.2
,,,,,,,,321,10198.65,2912.7,1390.2
,,,,,,,,322,10681.65,3050.25,1456.35
,,,,,,,,323,10885.35,3108,1484.7
,,,,,,,,324,10817.1,3089.1,1474.2
,,,,,,,,325,10644.9,3039.75,1452.15
,,,,,,,,326,10445.4,2983.05,1423.8
,,,,,,,,327,10350.9,2955.75,1411.2
,,,,,,,,328,10434.9,2979.9,1422.75
,,,,,,,,329,11115.3,3174.15,1516.2
,,,,,,,,330,12043.5,3439.8,1642.2
,,,,,,,,331,12040.35,3438.75,1642.2
,,,,,,,,332,11770.5,3361.05,1605.45
,,,,,,,,333,11399.85,3256.05,1554
,,,,,,,,334,10948.35,3126.9,1493.1
,,,,,,,,335,10411.8,2973.6,1419.6
,,,,,,,,336,9787.05,2795.1,1334.55
,,,,,,,,337,9199.05,2627.1,1254.75
,,,,,,,,338,8847.3,2526.3,1206.45
,,,,,,,,339,8704.5,2486.4,1186.5
,,,,,,,,340,8687.7,2481.15,1184.4
,,,,,,,,341,8785.35,2508.45,1197
,,,,,,,,342,9030,2578.8,1230.6
,,,,,,,,343,9452.1,2699.55,1288.35
,,,,,,,,344,9907.8,2828.7,1351.35
,,,,,,,,345,10551.45,3013.5,1438.5
,,,,,,,,346,11035.5,3151.05,1504.65
,,,,,,,,347,11300.1,3226.65,1540.35
,,,,,,,,348,11388.3,3251.85,1552.95
,,,,,,,,349,11378.85,3249.75,1551.9
,,,,,,,,350,11263.35,3217.2,1536.15
,,,,,,,,351,11194.05,3197.25,1526.7
,,,,,,,,352,11284.35,3222.45,1538.25
,,,,,,,,353,12015.15,3431.4,1638
,,,,,,,,354,12970.65,3704.4,1768.2
,,,,,,,,355,12986.4,3708.6,1770.3
,,,,,,,,356,12625.2,3605.7,1722
,,,,,,,,357,12264,3502.8,1671.6
,,,,,,,,358,11652.9,3328.5,1588.65
,,,,,,,,359,10923.15,3119.55,1488.9
,,,,,,,,360,10192.35,2910.6,1389.15
,,,,,,,,361,9678.9,2764.65,1319.85
,,,,,,,,362,9411.15,2686.95,1283.1
,,,,,,,,363,9303,2656.5,1268.4
,,,,,,,,364,9307.2,2658.6,1268.4
,,,,,,,,365,9522.45,2719.5,1297.8
,,,,,,,,366,10084.2,2880.15,1374.45
,,,,,,,,367,11012.4,3144.75,1501.5
,,,,,,,,368,11695.95,3340.05,1594.95
,,,,,,,,369,12166.35,3474.45,1659
,,,,,,,,370,12428.85,3550.05,1694.7
,,,,,,,,371,12529.65,3578.4,1708.35
,,,,,,,,372,12429.9,3550.05,1694.7
,,,,,,,,373,12230.4,3492.3,1667.4
,,,,,,,,374,12090.75,3453.45,1648.5
,,,,,,,,375,11938.5,3409.35,1627.5
,,,,,,,,376,11961.6,3416.7,1630.65
,,,,,,,,377,12570.6,3589.95,1713.6
,,,,,,,,378,13382.25,3822,1823.85
,,,,,,,,379,13234.2,3780,1803.9
,,,,,,,,380,12834.15,3665.55,1749.3
,,,,,,,,381,12251.4,3498.6,1669.5
,,,,,,,,382,11411.4,3259.2,1556.1
,,,,,,,,383,10406.55,2971.5,1418.55
,,,,,,,,384,9479.4,2707.95,1292.55
,,,,,,,,385,8843.1,2525.25,1205.4
,,,,,,,,386,8484,2423.4,1156.05
,,,,,,,,387,8322.3,2377.2,1134
,,,,,,,,388,8279.25,2364.6,1128.75
,,,,,,,,389,8488.2,2424.45,1157.1
,,,,,,,,390,9209.55,2629.2,1255.8
,,,,,,,,391,10517.85,3004.05,1434.3
,,,,,,,,392,11285.4,3223.5,1538.25
,,,,,,,,393,11398.8,3256.05,1554
,,,,,,,,394,11404.05,3256.05,1554
,,,,,,,,395,11395.65,3255,1552.95
,,,,,,,,396,11351.55,3241.35,1547.7
,,,,,,,,397,11291.7,3224.55,1539.3
