Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,249,5361.5,2296.5,1535.1
,,,,,,,,250,5329.5,2283,1525.65
,,,,,,,,251,5310.5,2274.75,1520.4
,,,,,,,,252,5268,2256.75,1507.8
,,,,,,,,253,5194,2224.5,1486.8
,,,,,,,,254,5164,2212.5,1478.4
,,,,,,,,255,5115,2190.75,1463.7
,,,,,,,,256,5149.5,2205.75,1474.2
,,,,,,,,257,5482.5,2348.25,1569.75
,,,,,,,,258,5890.5,2523.75,1686.3
,,,,,,,,259,5868.5,2514,1680
,,,,,,,,260,5724,2452.5,1638
,,,,,,,,261,5504.5,2358,1576.05
,,,,,,,,262,5127.5,2196.75,1467.9
,,,,,,,,263,4637.5,1986.75,1328.25
,,,,,,,,264,4206,1801.5,1203.3
,,,,,,,,265,3921,1679.25,1122.45
,,,,,,,,266,3764.5,1612.5,1077.3
,,,,,,,,267,3690.5,1581,1056.3
,,,,,,,,268,3689,1580.25,1055.25
,,,,,,,,269,3803.5,1629,1088.85
,,,,,,,,270,4161,1782,1191.75
,,,,,,,,271,4804,2058,1375.5
,,,,,,,,272,5248.5,2248.5,1502.55
,,,,,,,,273,5372,2301,1537.2
,,,,,,,,274,5459.5,2339.25,1563.45
,,,,,,,,275,5536.5,2371.5,1584.45
,,,,,,,,276,5556,2379.75,1590.75
,,,,,,,,277,5534,2370.75,1584.45
,,,,,,,,278,5509.5,2360.25,1577.1
,,,,,,,,279,5436.5,2328.75,1556.1
,,,,,,,,280,5423.5,2323.5,1552.95
,,,,,,,,281,5682,2434.5,1627.5
,,,,,,,,282,5975.5,2559.75,1711.5
,,,,,,,,283,5915,2533.5,1693.65
,,,,,,,,284,5739.5,2458.5,1643.25
,,,,,,,,285,5498.5,2355,1573.95
,,,,,,,,286,5112,2190,1462.65
,,,,,,,,287,4625.5,1981.5,1324.05
,,,,,,,,288,4202.5,1800,1203.3
,,,,,,,,289,3905.5,1673.25,1118.25
,,,,,,,,290,3756.5,1608.75,1075.2
,,,,,,,,291,3685.5,1578.75,1054.2
,,,,,,,,292,3672,1573.5,1051.05
,,,,,,,,293,3771,1615.5,1079.4
,,,,,,,,294,4108.5,1760.25,1176
,,,,,,,,295,4750.5,2034.75,1359.75
,,,,,,,,296,5170,2214.75,1479.45
,,,,,,,,297,5251.5,2250,1503.6
,,,,,,,,298,5274,2259,1509.9
,,,,,,,,299,5281,2262,1512
,,,,,,,,300,5258,2252.25,1505.7
,,,,,,,,301,5210,2232,1492.05
,,,,,,,,302,5189,2223,1485.75
,,,,,,,,303,5169.5,2214.75,1479.45
,,,,,,,,304,5244.5,2246.25,1501.5
,,,,,,,,305,5570.5,2386.5,1594.95
,,,,,,,,306,5897.5,2526.75,1688.4
,,,,,,,,307,5844,2503.5,1673.7
,,,,,,,,308,5694.5,2439.75,1630.65
,,,,,,,,309,5505,2358.75,1576.05
,,,,,,,,310,5222.5,2237.25,1495.2
,,,,,,,,311,4843.5,2074.5,1387.05
,,,,,,,,312,4465.5,1912.5,1277.85
,,,,,,,,313,4170.5,1786.5,1193.85
,,,,,,,,314,3998,1713,1144.5
,,,,,,,,315,3901,1671.75,1117.2
,,,,,,,,316,3871,1658.25,1107.75
,,,,,,,,317,3911.5,1675.5,1119.3
,,,,,,,,318,4048.5,1734.75,1159.2
,,,,,,,,319,4305.5,1844.25,1232.7
,,,,,,,,320,4564,1955.25,1306.2
,,,,,,,,321,4856.5,2080.5,1390.2
,,,,,,,,322,5086.5,2178.75,1456.35
,,,,,,,,323,5183.5,2220,1484.7
,,,,,,,,324,5151,2206.5,1474.2
,,,,,,,,325,5069,2171.25,1452.15
,,,,,,,,326,4974,2130.75,1423.8
,,,,,,,,327,4929,2111.25,1411.2
,,,,,,,,328,4969,2128.5,1422.75
,,,,,,,,329,5293,2267.25,1516.2
,,,,,,,,330,5735,2457,1642.2
,,,,,,,,331,5733.5,2456.25,1642.2
,,,,,,,,332,5605,2400.75,1605.45
,,,,,,,,333,5428.5,2325.75,1554
,,,,,,,,334,5213.5,2233.5,1493.1
,,,,,,,,335,4958,2124,1419.6
,,,,,,,,336,4660.5,1996.5,1334.55
,,,,,,,,337,4380.5,1876.5,1254.75
,,,,,,,,338,4213,1804.5,1206.45
,,,,,,,,339,4145,1776,1186.5
,,,,,,,,340,4137,1772.25,1184.4
,,,,,,,,341,4183.5,1791.75,1197
,,,,,,,,342,4300,1842,1230.6
,,,,,,,,343,4501,1928.25,1288.35
,,,,,,,,344,4718,2020.5,1351.35
,,,,,,,,345,5024.5,2152.5,1438.5
,,,,,,,,346,5255,2250.75,1504.65
,,,,,,,,347,5381,2304.75,1540.35
,,,,,,,,348,5423,2322.75,1552.95
,,,,,,,,349,5418.5,2321.25,1551.9
,,,,,,,,350,5363.5,2298,1536.15
,,,,,,,,351,5330.5,2283.75,1526.7
,,,,,,,,352,5373.5,2301.75,1538.25
,,,,,,,,353,5721.5,2451,1638
,,,,,,,,354,6176.5,2646,1768.2
,,,,,,,,355,6184,2649,1770.3
,,,,,,,,356,6012,2575.5,1722
,,,,,,,,357,5840,2502,1671.6
,,,,,,,,358,5549,2377.5,1588.65
,,,,,,,,359,5201.5,2228.25,1488.9
,,,,,,,,360,4853.5,2079,1389.15
,,,,,,,,361,4609,1974.75,1319.85
,,,,,,,,362,4481.5,1919.25,1283.1
,,,,,,,,363,4430,1897.5,1268.4
,,,,,,,,364,4432,1899,1268.4
,,,,,,,,365,4534.5,1942.5,1297.8
,,,,,,,,366,4802,2057.25,1374.45
,,,,,,,,367,5244,2246.25,1501.5
,,,,,,,,368,5569.5,2385.75,1594.95
,,,,,,,,369,5793.5,2481.75,1659
,,,,,,,,370,5918.5,2535.75,1694.7
,,,,,,,,371,5966.5,2556,1708.35
,,,,,,,,372,5919,2535.75,1694.7
,,,,,,,,373,5824,2494.5,1667.4
,,,,,,,,374,5757.5,2466.75,1648.5
,,,,,,,,375,5685,2435.25,1627.5
,,,,,,,,376,5696,2440.5,1630.65
,,,,,,,,377,5986,2564.25,1713.6
,,,,,,,,378,6372.5,2730,1823.85
,,,,,,,,379,6302,2700,1803.9
,,,,,,,,380,6111.5,2618.25,1749.3
,,,,,,,,381,5834,2499,1669.5
,,,,,,,,382,5434,2328,1556.1
,,,,,,,,383,4955.5,2122.5,1418.55
,,,,,,,,384,4514,1934.25,1292.55
,,,,,,,,385,4211,1803.75,1205.4
,,,,,,,,386,4040,1731,1156.05
,,,,,,,,387,3963,1698,1134
,,,,,,,,388,3942.5,1689,1128.75
,,,,,,,,389,4042,1731.75,1157.1
,,,,,,,,390,4385.5,1878,1255.8
,,,,,,,,391,5008.5,2145.75,1434.3
,,,,,,,,392,5374,2302.5,1538.25
,,,,,,,,393,5428,2325.75,1554
,,,,,,,,394,5430.5,2325.75,1554
,,,,,,,,395,5426.5,2325,1552.95
,,,,,,,,396,5405.5,2315.25,1547.7
,,,,,,,,397,5377,2303.25,1539.3
,,,,,,,,398,5370.5,2301,1537.2
,,,,,,,,399,5352.5,2292.75,1531.95
,,,,,,,,400,5404,2314.5,1547.7
,,,,,,,,401,5704,2443.5,1632.75
,,,,,,,,402,5995,2568,1716.75
,,,,,,,,403,5911.5,2532,1692.6
,,,,,,,,404,5733.5,2456.25,1641.15
,,,,,,,,405,5468,2343,1565.55
,,,,,,,,406,5072.5,2172.75,1452.15
,,,,,,,,407,4579,1961.25,1310.4
,,,,,,,,408,4135,1771.5,1183.35
,,,,,,,,409,3836.5,1643.25,1098.3
,,,,,,,,410,3684,1578,1054.2
,,,,,,,,411,3605,1544.25,1032.15
,,,,,,,,412,3596,1540.5,1029
,,,,,,,,413,3714,1590.75,1063.65
,,,,,,,,414,4097.5,1755,1172.85
,,,,,,,,415,4800.5,2056.5,1374.45
,,,,,,,,416,5168.5,2214,1479.45
,,,,,,,,417,5207,2230.5,1489.95
,,,,,,,,418,5238.5,2244,1499.4
,,,,,,,,419,5279,2261.25,1510.95
,,,,,,,,420,5281.5,2262.75,1512
,,,,,,,,421,5257,2252.25,1505.7
,,,,,,,,422,5251,2250,1503.6
,,,,,,,,423,5226,2238.75,1496.25
,,,,,,,,424,5270,2257.5,1508.85
,,,,,,,,425,5583.5,2391.75,1599.15
,,,,,,,,426,6111,2618.25,1749.3
,,,,,,,,427,6155.5,2637,1762.95
,,,,,,,,428,6048.5,2591.25,1731.45
,,,,,,,,429,5840.5,2502,1671.6
,,,,,,,,430,5487.5,2351.25,1570.8
,,,,,,,,431,5038,2158.5,1441.65
