Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,,
,,,,,,,,757,11576.8,,
,,,,,,,,758,11465.6,,
,,,,,,,,759,11235.2,,
,,,,,,,,760,11138.4,,
,,,,,,,,761,11460,,
,,,,,,,,762,12478.4,,
,,,,,,,,763,12617.6,,
,,,,,,,,764,12308,,
,,,,,,,,765,11812,,
,,,,,,,,766,11008.8,,
,,,,,,,,767,9939.2,,
,,,,,,,,768,8991.2,,
,,,,,,,,769,8377.6,,
,,,,,,,,770,8061.6,,
,,,,,,,,771,7917.6,,
,,,,,,,,772,7929.6,,
,,,,,,,,773,8193.6,,
,,,,,,,,774,9046.4,,
,,,,,,,,775,10641.6,,
,,,,,,,,776,11487.2,,
,,,,,,,,777,11643.2,,
,,,,,,,,778,11749.6,,
,,,,,,,,779,11864,,
,,,,,,,,780,11889.6,,
,,,,,,,,781,11841.6,,
,,,,,,,,782,11821.6,,
,,,,,,,,783,11783.2,,
,,,,,,,,784,11890.4,,
,,,,,,,,785,12405.6,,
,,,,,,,,786,13172.8,,
,,,,,,,,787,13209.6,,
,,,,,,,,788,12907.2,,
,,,,,,,,789,12438.4,,
,,,,,,,,790,11632,,
,,,,,,,,791,10583.2,,
,,,,,,,,792,9643.2,,
,,,,,,,,793,9026.4,,
,,,,,,,,794,8697.6,,
,,,,,,,,795,8580,,
,,,,,,,,796,8596.8,,
,,,,,,,,797,8862.4,,
,,,,,,,,798,9721.6,,
,,,,,,,,799,11307.2,,
,,,,,,,,800,12088,,
,,,,,,,,801,12183.2,,
,,,,,,,,802,12154.4,,
,,,,,,,,803,12127.2,,
,,,,,,,,804,12008.8,,
,,,,,,,,805,11790.4,,
,,,,,,,,806,11642.4,,
,,,,,,,,807,11461.6,,
,,,,,,,,808,11402.4,,
,,,,,,,,809,11741.6,,
,,,,,,,,810,12680.8,,
,,,,,,,,811,12808.8,,
,,,,,,,,812,12492,,
,,,,,,,,813,12072,,
,,,,,,,,814,11444.8,,
,,,,,,,,815,10589.6,,
,,,,,,,,816,9668,,
,,,,,,,,817,8987.2,,
,,,,,,,,818,8611.2,,
,,,,,,,,819,8402.4,,
,,,,,,,,820,8321.6,,
,,,,,,,,821,8384,,
,,,,,,,,822,8688,,
,,,,,,,,823,9285.6,,
,,,,,,,,824,9899.2,,
