Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,379,4480.5
,,,,,,,,380,4345
,,,,,,,,381,4147.5
,,,,,,,,382,3863.5
,,,,,,,,383,3523
,,,,,,,,384,3209.5
,,,,,,,,385,2993.75
,,,,,,,,386,2872.25
,,,,,,,,387,2817.5
,,,,,,,,388,2803
,,,,,,,,389,2873.75
,,,,,,,,390,3117.75
,,,,,,,,391,3561
,,,,,,,,392,3820.75
,,,,,,,,393,3859.25
,,,,,,,,394,3860.5
,,,,,,,,395,3858
,,,,,,,,396,3843
,,,,,,,,397,3822.75
,,,,,,,,398,3818.25
,,,,,,,,399,3805.25
,,,,,,,,400,3842
,,,,,,,,401,4055.25
,,,,,,,,402,4262.25
,,,,,,,,403,4202.75
,,,,,,,,404,4076.25
,,,,,,,,405,3887.75
,,,,,,,,406,3606.25
,,,,,,,,407,3255.25
,,,,,,,,408,2939.75
,,,,,,,,409,2727.5
,,,,,,,,410,2619
,,,,,,,,411,2563
,,,,,,,,412,2556.5
,,,,,,,,413,2640.5
,,,,,,,,414,2913
,,,,,,,,415,3413
,,,,,,,,416,3674.5
,,,,,,,,417,3701.75
,,,,,,,,418,3724.25
,,,,,,,,419,3753
,,,,,,,,420,3755
,,,,,,,,421,3737.75
,,,,,,,,422,3733.5
,,,,,,,,423,3715.5
,,,,,,,,424,3746.75
,,,,,,,,425,3969.75
,,,,,,,,426,4344.75
,,,,,,,,427,4376.5
,,,,,,,,428,4300.25
,,,,,,,,429,4152.25
,,,,,,,,430,3901.5
,,,,,,,,431,3581.75
,,,,,,,,432,3287.75
,,,,,,,,433,3104.75
,,,,,,,,434,3017.25
,,,,,,,,435,2981
,,,,,,,,436,2987.75
,,,,,,,,437,3082.5
,,,,,,,,438,3358
,,,,,,,,439,3860.25
,,,,,,,,440,4123.75
,,,,,,,,441,4135.25
,,,,,,,,442,4114.5
,,,,,,,,443,4092
,,,,,,,,444,4041
,,,,,,,,445,3977.75
,,,,,,,,446,3938
,,,,,,,,447,3891.25
,,,,,,,,448,3918
,,,,,,,,449,4115.5
,,,,,,,,450,4391
,,,,,,,,451,4383
,,,,,,,,452,4307.5
,,,,,,,,453,4134.5
,,,,,,,,454,3862.25
,,,,,,,,455,3519.25
,,,,,,,,456,3208.5
,,,,,,,,457,2998.25
,,,,,,,,458,2879.75
,,,,,,,,459,2824.75
,,,,,,,,460,2813
,,,,,,,,461,2898
,,,,,,,,462,3151.75
,,,,,,,,463,3621.75
,,,,,,,,464,3871.5
,,,,,,,,465,3899.5
