Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
193,1,0,1,0.183090484,0,1,0.341565776,1,1,1
194,1,0,1,0.149288106,0,1,0.239776706,1,1,1
195,1,0,1,0.134458375,0,1,0.19598577,1,1,1
196,1,0,1,0.07958495,0,1,0.21331551,1,1,1
197,1,0,1,0.057049584,0,1,0.269239092,1,1,1
198,1,0,1,0.113179386,0,1,0.322461986,1,1,1
199,1,0,1,0.139773345,0,1,0.327253246,1,1,1
200,1,0,1,0.087991345,0,1,0.317218256,1,1,1
201,1,0.12672,1,0.07263521,0.14208,1,0.318474626,1,1,1
202,1,0.28824,1,0.024631118,0.28832,1,0.289279652,1,1,1
203,1,0.36688,1,0.013327246,0.38128,1,0.237597513,1,1,1
204,1,0.38776,1,0.02119749,0.42184,1,0.145988106,1,1,1
205,1,0.47256,1,0.012880188,0.52312,1,0.099009418,1,1,1
206,1,0.61232,1,0.050654465,0.63312,1,0.11751616,1,1,1
207,1,0.46056,1,0.16984613,0.47592,1,0.192583239,1,1,1
208,1,0.32152,1,0.147806811,0.34216,1,0.255780172,1,1,1
209,1,0.12328,1,0.327391982,0.1452,1,0.39956119,1,1,1
210,1,0,1,0.684301424,0,1,0.588046265,1,1,1
211,1,0,1,0.573935127,0,1,0.614576435,1,1,1
212,1,0,1,0.290864491,0,1,0.700048685,1,1,1
213,1,0,1,0.254136586,0,1,0.656275654,1,1,1
214,1,0,1,0.217262244,0,1,0.728052282,1,1,1
215,1,0,1,0.249255395,0,1,0.765846014,1,1,1
216,1,0,1,0.177067614,0,1,0.757213163,1,1,1
217,1,0,1,0.13687253,0,1,0.747504854,1,1,1
218,1,0,1,0.063684851,0,1,0.731197357,1,1,1
219,1,0,1,0.151647806,0,1,0.756727123,1,1,1
220,1,0,1,0.207430315,0,1,0.741124582,1,1,1
221,1,0,1,0.101789844,0,1,0.679692173,1,1,1
222,1,0,1,0.141951096,0,1,0.708693838,1,1,1
223,1,0,1,0.216431928,0,1,0.722850132,1,1,1
224,1,0,1,0.150020528,0,1,0.720233726,1,1,1
225,1,0.13672,1,0.556458854,0.14224,1,0.63153739,1,1,1
226,1,0.27424,1,0.105078686,0.28912,1,0.642046166,1,1,1
227,1,0.3636,1,0.191369724,0.3908,1,0.584506035,1,1,1
228,1,0.41784,1,0.248000836,0.46904,1,0.559710598,1,1,1
229,1,0.47768,1,0.333061671,0.47008,1,0.407595634,1,1,1
230,1,0.48784,1,0.337530756,0.42416,1,0.38946228,1,1,1
231,1,0.41408,1,0.463211346,0.34232,1,0.496420098,1,1,1
232,1,0.28024,1,0.514682388,0.22984,1,0.549425173,1,1,1
233,1,0.0884,1,0.63216443,0.09136,1,0.667933274,1,1,1
234,1,0,1,0.587799597,0,1,0.769007015,1,1,1
235,1,0,1,0.721023178,0,1,0.788245916,1,1,1
236,1,0,1,0.354892469,0,1,0.780206013,1,1,1
237,1,0,1,0.450980806,0,1,0.793496704,1,1,1
238,1,0,1,0.621440887,0,1,0.796403218,1,1,1
239,1,0,1,0.475153685,0,1,0.750716018,1,1,1
240,1,0,1,0.607976342,0,1,0.744683314,1,1,1
241,1,0,1,0.403558826,0,1,0.711553002,1,1,1
242,1,0,1,0.390173268,0,1,0.707448006,1,1,1
243,1,0,1,0.158043921,0,1,0.610301018,1,1,1
244,1,0,1,0.041431606,0,1,0.504007292,1,1,1
245,1,0,1,0.238051748,0,1,0.331624651,1,1,1
246,1,0,1,0.496644735,0,1,0.30210619,1,1,1
247,1,0,1,0.405001211,0,1,0.277858782,1,1,1
248,1,0,1,0.295622658,0,1,0.17500366,1,1,1
249,1,0.15232,1,0.060318858,0.14536,1,0.27855699,1,1,1
250,1,0.31984,1,0.041674221,0.30208,1,0.220761586,1,1,1
251,1,0.40104,1,0.000730026,0.41728,1,0.13388319,1,1,1
252,1,0.43856,1,0.003043841,0.50736,1,0.076967508,1,1,1
253,1,0.43768,1,0.003732154,0.54472,1,0.019308975,1,1,1
254,1,0.45104,1,0.02795429,0.53096,1,0.014369708,1,1,1
255,1,0.39536,1,0.104496324,0.46064,1,0.021065196,1,1,1
256,1,0.2864,1,0.167791855,0.32608,1,0.040098071,1,1,1
257,1,0.09896,1,0.216282916,0.10816,1,0.061101734,1,1,1
258,1,0,1,0.470318985,0,1,0.128228426,1,1,1
259,1,0,1,0.640902233,0,1,0.200309539,1,1,1
260,1,0,1,0.377403354,0,1,0.187971139,1,1,1
261,1,0,1,0.397695494,0,1,0.302319622,1,1,1
262,1,0,1,0.346635675,0,1,0.30641911,1,1,1
263,1,0,1,0.37185235,0,1,0.310877943,1,1,1
264,1,0,1,0.396501589,0,1,0.28790183,1,1,1
265,1,0,1,0.61866293,0,1,0.300983906,1,1,1
266,1,0,1,0.737940073,0,1,0.338580608,1,1,1
267,1,0,1,0.780545092,0,1,0.340336514,1,1,1
268,1,0,1,0.798935127,0,1,0.379426646,1,1,1
269,1,0,1,0.774530888,0,1,0.410471726,1,1,1
270,1,0,1,0.796363783,0,1,0.553445053,1,1,1
271,1,0,1,0.78975501,0,1,0.454817057,1,1,1
272,1,0,1,0.79508152,0,1,0.419367695,1,1,1
273,1,0,1,0.798303938,0.00008,1,0.524510384,1,1,1
274,1,0.00208,1,0.7953125,0.00328,1,0.524378442,1,1,1
275,1,0.04784,1,0.799625206,0.05008,1,0.548815441,1,1,1
276,1,0.0836,1,0.8,0.0724,1,0.766782522,1,1,1
277,1,0.0412,1,0.8,0.1412,1,0.79090457,1,1,1
278,1,0.05368,1,0.79943757,0.24496,1,0.791734886,1,1,1
279,1,0.15648,1,0.790329742,0.2952,1,0.779205608,1,1,1
280,1,0.12424,1,0.778465843,0.22504,1,0.754615593,1,1,1
281,1,0.02856,1,0.726849938,0.07224,1,0.735093307,1,1,1
282,1,0,1,0.690861321,0,1,0.729964638,1,1,1
283,1,0,1,0.35332191,0,1,0.735012054,1,1,1
284,1,0,1,0.107061338,0,1,0.731321287,1,1,1
285,1,0,1,0.150647616,0,1,0.731297493,1,1,1
286,1,0,1,0.064521235,0,1,0.70942645,1,1,1
287,1,0,1,0.082317567,0,1,0.718312311,1,1,1
288,1,0,1,0.233663487,0,1,0.580135441,1,1,1
289,1,0,1,0.192377818,0,1,0.531682158,1,1,1
290,1,0,1,0.197952044,0,1,0.456716966,1,1,1
291,1,0,1,0.190089226,0,1,0.368678498,1,1,1
292,1,0,1,0.349516845,0,1,0.385366178,1,1,1
293,1,0,1,0.273350048,0,1,0.224630308,1,1,1
294,1,0,1,0.373246431,0,1,0.133421374,1,1,1
295,1,0,1,0.650595331,0,1,0.16454221,1,1,1
296,1,0,1,0.242303109,0,1,0.24042573,1,1,1
297,1,0.00328,1,0.298437142,0.00536,1,0.214073754,1,1,1
298,1,0.0644,1,0.182406068,0.12016,1,0.338337874,1,1,1
299,1,0.22952,1,0.564201355,0.33512,1,0.316805077,1,1,1
300,1,0.33016,1,0.784206152,0.39584,1,0.311260795,1,1,1
301,1,0.41928,1,0.8,0.45776,1,0.425516129,1,1,1
302,1,0.45856,1,0.8,0.43864,1,0.556366873,1,1,1
303,1,0.37944,1,0.8,0.32696,1,0.673386145,1,1,1
304,1,0.244,1,0.8,0.2504,1,0.664969778,1,1,1
305,1,0.07824,1,0.8,0.10544,1,0.617403507,1,1,1
306,1,0,1,0.8,0,1,0.687331772,1,1,1
307,1,0,1,0.8,0,1,0.771303558,1,1,1
308,1,0,1,0.8,0,1,0.79145155,1,1,1
309,1,0,1,0.8,0,1,0.797683478,1,1,1
310,1,0,1,0.8,0,1,0.791362476,1,1,1
311,1,0,1,0.8,0,1,0.799969959,1,1,1
312,1,0,1,0.79230814,0,1,0.8,1,1,1
313,1,0,1,0.779634618,0,1,0.8,1,1,1
314,1,0,1,0.8,0,1,0.8,1,1,1
315,1,0,1,0.799138927,0,1,0.797540283,1,1,1
316,1,0,1,0.8,0,1,0.78475194,1,1,1
317,1,0,1,0.79993248,0,1,0.796722794,1,1,1
318,1,0,1,0.791932964,0,1,0.78932023,1,1,1
319,1,0,1,0.791566849,0,1,0.774197102,1,1,1
320,1,0,1,0.602239657,0,1,0.778928137,1,1,1
321,1,0.15136,1,0.725760794,0.1312,1,0.788906956,1,1,1
322,1,0.30464,1,0.752663135,0.30536,1,0.792714501,1,1,1
323,1,0.4044,1,0.788768196,0.42088,1,0.760702419,1,1,1
324,1,0.48464,1,0.795128679,0.4812,1,0.764275313,1,1,1
325,1,0.52968,1,0.788367319,0.51136,1,0.790010929,1,1,1
326,1,0.52504,1,0.787683773,0.51584,1,0.780169869,1,1,1
327,1,0.45632,1,0.793026924,0.46168,1,0.766055679,1,1,1
328,1,0.32072,1,0.781736231,0.3376,1,0.793259049,1,1,1
329,1,0.14056,1,0.790284729,0.16744,1,0.758649683,1,1,1
330,1,0,1,0.670768642,0,1,0.760311794,1,1,1
331,1,0,1,0.695476866,0,1,0.766598225,1,1,1
332,1,0,1,0.635938787,0,1,0.742265177,1,1,1
333,1,0,1,0.731113434,0,1,0.783265782,1,1,1
334,1,0,1,0.752165699,0,1,0.791576338,1,1,1
335,1,0,1,0.721098328,0,1,0.788642311,1,1,1
336,1,0,1,0.751243878,0,1,0.788685655,1,1,1
337,1,0,1,0.799048806,0,1,0.791192818,1,1,1
338,1,0,1,0.799881125,0,1,0.741263628,1,1,1
339,1,0,1,0.8,0,1,0.714568949,1,1,1
340,1,0,1,0.8,0,1,0.698408318,1,1,1
341,1,0,1,0.8,0,1,0.674999333,1,1,1
342,1,0,1,0.8,0,1,0.61856513,1,1,1
343,1,0,1,0.798580026,0,1,0.575854349,1,1,1
344,1,0,1,0.759462834,0,1,0.544377566,1,1,1
345,1,0.19248,1,0.795903063,0.19072,1,0.579749012,1,1,1
346,1,0.37528,1,0.795125103,0.37744,1,0.588379335,1,1,1
347,1,0.50496,1,0.729498148,0.50728,1,0.65782485,1,1,1
348,1,0.56664,1,0.645324135,0.57432,1,0.741678906,1,1,1
349,1,0.57544,1,0.799983168,0.5852,1,0.757451916,1,1,1
350,1,0.56496,1,0.757534742,0.57536,1,0.758460331,1,1,1
351,1,0.49016,1,0.798864412,0.50952,1,0.768993854,1,1,1
352,1,0.35256,1,0.799472761,0.37616,1,0.782201958,1,1,1
353,1,0.15864,1,0.8,0.18808,1,0.77691145,1,1,1
354,1,0,1,0.791718912,0,1,0.762978268,1,1,1
355,1,0,1,0.794588042,0,1,0.779722595,1,1,1
356,1,0,1,0.718814659,0,1,0.781390476,1,1,1
357,1,0,1,0.755400181,0,1,0.766662693,1,1,1
358,1,0,1,0.62727499,0,1,0.773075486,1,1,1
359,1,0,1,0.715767241,0,1,0.777078104,1,1,1
360,1,0,1,0.683478975,0,1,0.780004883,1,1,1
361,1,0,1,0.772309828,0,1,0.786553764,1,1,1
362,1,0,1,0.763489723,0,1,0.766261006,1,1,1
363,1,0,1,0.737864828,0,1,0.73245492,1,1,1
364,1,0,1,0.67524991,0,1,0.73254981,1,1,1
365,1,0,1,0.641785431,0,1,0.675205707,1,1,1
366,1,0,1,0.662809229,0,1,0.616240883,1,1,1
367,1,0,1,0.467197323,0,1,0.600848198,1,1,1
368,1,0,1,0.162082827,0,1,0.558990288,1,1,1
369,1,0.19128,1,0.046752513,0.18968,1,0.55520029,1,1,1
370,1,0.36688,1,0.00150703,0.37248,1,0.395297026,1,1,1
371,1,0.49432,1,0.002452147,0.49688,1,0.241974497,1,1,1
372,1,0.55792,1,0.057182854,0.52448,1,0.112644994,1,1,1
373,1,0.53376,1,0.156749094,0.5172,1,0.05283438,1,1,1
374,1,0.49088,1,0.351616001,0.48464,1,0.096565378,1,1,1
375,1,0.39544,1,0.550589943,0.348,1,0.315487575,1,1,1
376,1,0.21928,1,0.700590467,0.23208,1,0.577907753,1,1,1
377,1,0.05328,1,0.733481646,0.11008,1,0.641610766,1,1,1
378,1,0,1,0.8,0,1,0.742752027,1,1,1
379,1,0,1,0.8,0,1,0.784406758,1,1,1
380,1,0,1,0.785507393,0,1,0.8,1,1,1
381,1,0,1,0.386176062,0,1,0.169014835,1,1,1
382,1,0,1,0.795898246,0,1,0.785383749,1,1,1
383,1,0,1,0.794623947,0,1,0.73143363,1,1,1
384,1,0,1,0.770082474,0,1,0.734973669,1,1,1
385,1,0,1,0.681010294,0,1,0.672723579,1,1,1
386,1,0,1,0.586608362,0,1,0.753782749,1,1,1
387,1,0,1,0.711890173,0,1,0.777226353,1,1,1
388,1,0,1,0.785572958,0,1,0.757491016,1,1,1
389,1,0,1,0.771062613,0,1,0.664198923,1,1,1
390,1,0,1,0.641823054,0,1,0.588670492,1,1,1
391,1,0,1,0.494062042,0,1,0.478402233,1,1,1
392,1,0,1,0.368522978,0,1,0.462539578,1,1,1
393,1,0.0504,1,0.306011248,0.06808,1,0.328559494,1,1,1
394,1,0.18384,1,0.31694088,0.24024,1,0.20291307,1,1,1
395,1,0.3164,1,0.296968913,0.33064,1,0.12921226,1,1,1
396,1,0.36608,1,0.325953913,0.28624,1,0.115050411,1,1,1
397,1,0.34008,1,0.183232772,0.284,1,0.07650702,1,1,1
398,1,0.3176,1,0.190725589,0.2456,1,0.058263457,1,1,1
399,1,0.21808,1,0.305173612,0.23624,1,0.062871355,1,1,1
400,1,0.1184,1,0.384861565,0.15888,1,0.132508743,1,1,1
401,1,0.01064,1,0.443745661,0.00736,1,0.230111551,1,1,1
402,1,0,1,0.420373678,0,1,0.433679581,1,1,1
403,1,0,1,0.65209403,0,1,0.636069298,1,1,1
404,1,0,1,0.559182691,0,1,0.736846399,1,1,1
405,1,0,1,0.647944022,0,1,0.648866082,1,1,1
406,1,0,1,0.704363537,0,1,0.641968918,1,1,1
407,1,0,1,0.768312025,0,1,0.651483631,1,1,1
408,1,0,1,0.725849152,0,1,0.658931732,1,1,1
409,1,0,1,0.776531601,0,1,0.683992386,1,1,1
410,1,0,1,0.778187227,0,1,0.707841492,1,1,1
411,1,0,1,0.799901676,0,1,0.755066967,1,1,1
412,1,0,1,0.8,0,1,0.783322239,1,1,1
413,1,0,1,0.8,0,1,0.780755615,1,1,1
414,1,0,1,0.8,0,1,0.797203159,1,1,1
415,1,0,1,0.8,0,1,0.8,1,1,1
416,1,0,1,0.8,0,1,0.8,1,1,1
417,1,0.17552,1,0.799939251,0.15888,1,0.8,1,1,1
418,1,0.34056,1,0.799029017,0.32264,1,0.8,1,1,1
419,1,0.46976,1,0.8,0.43632,1,0.8,1,1,1
420,1,0.51848,1,0.8,0.47704,1,0.8,1,1,1
421,1,0.52736,1,0.8,0.48784,1,0.8,1,1,1
422,1,0.52376,1,0.8,0.52576,1,0.8,1,1,1
423,1,0.46584,1,0.8,0.48408,1,0.8,1,1,1
424,1,0.35088,1,0.8,0.37552,1,0.8,1,1,1
425,1,0.16712,1,0.8,0.19592,1,0.8,1,1,1
426,1,0,1,0.8,0,1,0.8,1,1,1
427,1,0,1,0.799909019,0,1,0.8,1,1,1
