Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,447,47489,2110
,,,,,,,,448,44209,1964
,,,,,,,,449,43776,1945
,,,,,,,,450,41961,1864
,,,,,,,,451,41618,1849
,,,,,,,,452,43130,1916
,,,,,,,,453,42960,1909
,,,,,,,,454,42311,1880
,,,,,,,,455,41673,1852
,,,,,,,,456,39842,1770
,,,,,,,,457,37888,1683
,,,,,,,,458,35673,1585
,,,,,,,,459,34291,1524
,,,,,,,,460,33102,1471
,,,,,,,,461,32285,1434
,,,,,,,,462,32006,1422
,,,,,,,,463,33820,1503
,,,,,,,,464,36444,1619
,,,,,,,,465,38351,1704
,,,,,,,,466,39298,1746
,,,,,,,,467,41756,1855
,,,,,,,,468,42725,1898
,,,,,,,,469,45555,2024
,,,,,,,,470,45619,2027
,,,,,,,,471,44157,1962
,,,,,,,,472,41695,1853
,,,,,,,,473,41642,1850
,,,,,,,,474,41117,1827
,,,,,,,,475,40606,1804
,,,,,,,,476,41758,1855
,,,,,,,,477,41726,1854
,,,,,,,,478,41135,1828
,,,,,,,,479,41108,1827
,,,,,,,,480,40343,1793
,,,,,,,,481,39480,1754
,,,,,,,,482,35161,1562
,,,,,,,,483,33223,1476
,,,,,,,,484,31119,1383
,,,,,,,,485,29363,1305
,,,,,,,,486,28323,1258
,,,,,,,,487,31013,1378
,,,,,,,,488,31520,1400
,,,,,,,,489,34838,1548
,,,,,,,,490,37430,1663
,,,,,,,,491,39584,1759
,,,,,,,,492,40999,1822
,,,,,,,,493,44451,1975
,,,,,,,,494,43661,1940
,,,,,,,,495,43153,1917
,,,,,,,,496,43186,1919
,,,,,,,,497,43019,1911
,,,,,,,,498,41276,1834
,,,,,,,,499,41403,1840
,,,,,,,,500,44221,1965
,,,,,,,,501,43379,1927
,,,,,,,,502,42420,1885
,,,,,,,,503,41611,1849
,,,,,,,,504,40745,1810
,,,,,,,,505,38722,1721
,,,,,,,,506,39152,1740
,,,,,,,,507,37859,1682
,,,,,,,,508,36603,1626
,,,,,,,,509,35584,1581
,,,,,,,,510,35240,1566
,,,,,,,,511,33049,1468
,,,,,,,,512,32706,1453
,,,,,,,,513,34442,1530
,,,,,,,,514,35528,1579
,,,,,,,,515,37478,1665
,,,,,,,,516,38371,1705
,,,,,,,,517,40758,1811
,,,,,,,,518,39985,1777
,,,,,,,,519,39966,1776
,,,,,,,,520,39712,1764
,,,,,,,,521,39593,1759
,,,,,,,,522,38311,1702
,,,,,,,,523,38916,1729
,,,,,,,,524,42283,1879
,,,,,,,,525,42167,1874
,,,,,,,,526,41549,1846
,,,,,,,,527,41026,1823
,,,,,,,,528,40052,1780
,,,,,,,,529,38069,1691
,,,,,,,,530,37098,1648
,,,,,,,,531,35177,1563
,,,,,,,,532,33874,1505
,,,,,,,,533,32481,1443
,,,,,,,,534,31886,1417
,,,,,,,,535,33300,1480
,,,,,,,,536,36218,1609
,,,,,,,,537,38796,1724
,,,,,,,,538,40232,1788
,,,,,,,,539,43289,1923
,,,,,,,,540,44675,1985
,,,,,,,,541,48453,2153
,,,,,,,,542,48201,2142
,,,,,,,,543,46185,2052
,,,,,,,,544,42965,1909
,,,,,,,,545,42552,1891
,,,,,,,,546,41240,1832
,,,,,,,,547,40891,1817
,,,,,,,,548,43160,1918
,,,,,,,,549,43633,1939
,,,,,,,,550,43211,1920
,,,,,,,,551,42922,1907
,,,,,,,,552,41064,1825
,,,,,,,,553,39045,1735
,,,,,,,,554,36479,1621
,,,,,,,,555,34992,1555
,,,,,,,,556,33691,1497
,,,,,,,,557,32892,1461
,,,,,,,,558,32914,1462
,,,,,,,,559,35533,1579
,,,,,,,,560,38112,1693
,,,,,,,,561,40397,1795
,,,,,,,,562,41705,1853
,,,,,,,,563,44305,1969
,,,,,,,,564,44941,1997
,,,,,,,,565,48813,2169
,,,,,,,,566,48354,2149
,,,,,,,,567,46302,2057
,,,,,,,,568,43534,1934
,,,,,,,,569,43973,1954
,,,,,,,,570,43474,1932
,,,,,,,,571,44044,1957
,,,,,,,,572,45096,2004
,,,,,,,,573,44851,1993
,,,,,,,,574,44025,1956
,,,,,,,,575,43071,1914
,,,,,,,,576,41057,1824
,,,,,,,,577,38319,1703
,,,,,,,,578,35852,1593
,,,,,,,,579,34404,1529
,,,,,,,,580,33206,1475
,,,,,,,,581,32415,1440
,,,,,,,,582,32311,1436
,,,,,,,,583,34223,1521
,,,,,,,,584,36590,1626
,,,,,,,,585,39025,1734
,,,,,,,,586,40831,1814
,,,,,,,,587,44082,1959
,,,,,,,,588,45365,2016
,,,,,,,,589,49295,2190
,,,,,,,,590,49050,2180
,,,,,,,,591,47074,2092
,,,,,,,,592,44411,1973
,,,,,,,,593,44882,1994
,,,,,,,,594,44272,1967
,,,,,,,,595,44611,1982
,,,,,,,,596,46190,2052
,,,,,,,,597,46264,2056
,,,,,,,,598,45654,2029
,,,,,,,,599,45050,2002
,,,,,,,,600,43334,1925
,,,,,,,,601,40853,1815
,,,,,,,,602,39406,1751
,,,,,,,,603,37669,1674
,,,,,,,,604,36161,1607
