Time_Index,CT_NG,ME_NG,MA_NG,None
266,2.725,2.725,2.64,0
267,2.725,2.725,2.64,0
268,2.725,2.725,2.64,0
269,2.725,2.725,2.64,0
270,2.725,2.725,2.64,0
271,2.725,2.725,2.64,0
272,2.725,2.725,2.64,0
273,2.725,2.725,2.64,0
274,2.725,2.725,2.64,0
275,2.725,2.725,2.64,0
276,2.725,2.725,2.64,0
277,2.725,2.725,2.64,0
278,2.725,2.725,2.64,0
279,2.725,2.725,2.64,0
280,2.725,2.725,2.64,0
281,2.725,2.725,2.64,0
282,2.725,2.725,2.64,0
283,2.725,2.725,2.64,0
284,2.725,2.725,2.64,0
285,2.725,2.725,2.64,0
286,2.725,2.725,2.64,0
287,2.725,2.725,2.64,0
288,2.725,2.725,2.64,0
289,2.725,2.725,2.64,0
290,2.725,2.725,2.64,0
291,2.725,2.725,2.64,0
292,2.725,2.725,2.64,0
293,2.725,2.725,2.64,0
294,2.725,2.725,2.64,0
295,2.725,2.725,2.64,0
296,2.725,2.725,2.64,0
297,2.725,2.725,2.64,0
298,2.725,2.725,2.64,0
299,2.725,2.725,2.64,0
300,2.725,2.725,2.64,0
301,2.725,2.725,2.64,0
302,2.725,2.725,2.64,0
303,2.725,2.725,2.64,0
304,2.725,2.725,2.64,0
305,2.725,2.725,2.64,0
306,2.725,2.725,2.64,0
307,2.725,2.725,2.64,0
308,2.725,2.725,2.64,0
309,2.725,2.725,2.64,0
310,2.725,2.725,2.64,0
311,2.725,2.725,2.64,0
312,2.725,2.725,2.64,0
313,2.725,2.725,2.64,0
314,2.725,2.725,2.64,0
315,2.725,2.725,2.64,0
316,2.725,2.725,2.64,0
317,2.725,2.725,2.64,0
318,2.725,2.725,2.64,0
319,2.725,2.725,2.64,0
320,2.725,2.725,2.64,0
321,2.725,2.725,2.64,0
322,2.725,2.725,2.64,0
323,2.725,2.725,2.64,0
324,2.725,2.725,2.64,0
325,2.725,2.725,2.64,0
326,2.725,2.725,2.64,0
327,2.725,2.725,2.64,0
328,2.725,2.725,2.64,0
329,2.725,2.725,2.64,0
330,2.725,2.725,2.64,0
331,2.725,2.725,2.64,0
332,2.725,2.725,2.64,0
333,2.725,2.725,2.64,0
334,2.725,2.725,2.64,0
335,2.725,2.725,2.64,0
336,2.725,2.725,2.64,0
337,2.725,2.725,2.64,0
338,2.725,2.725,2.64,0
339,2.725,2.725,2.64,0
340,2.725,2.725,2.64,0
341,2.725,2.725,2.64,0
342,2.725,2.725,2.64,0
343,2.725,2.725,2.64,0
344,2.725,2.725,2.64,0
345,2.725,2.725,2.64,0
346,2.725,2.725,2.64,0
347,2.725,2.725,2.64,0
348,2.725,2.725,2.64,0
349,2.725,2.725,2.64,0
350,2.725,2.725,2.64,0
351,2.725,2.725,2.64,0
352,2.725,2.725,2.64,0
353,2.725,2.725,2.64,0
354,2.725,2.725,2.64,0
355,2.725,2.725,2.64,0
356,2.725,2.725,2.64,0
357,2.725,2.725,2.64,0
358,2.725,2.725,2.64,0
359,2.725,2.725,2.64,0
360,2.725,2.725,2.64,0
361,2.725,2.725,2.64,0
362,2.725,2.725,2.64,0
363,2.725,2.725,2.64,0
364,2.725,2.725,2.64,0
365,2.725,2.725,2.64,0
366,2.725,2.725,2.64,0
367,2.725,2.725,2.64,0
368,2.725,2.725,2.64,0
369,2.725,2.725,2.64,0
370,2.725,2.725,2.64,0
371,2.725,2.725,2.64,0
372,2.725,2.725,2.64,0
373,2.725,2.725,2.64,0
374,2.725,2.725,2.64,0
375,2.725,2.725,2.64,0
376,2.725,2.725,2.64,0
377,2.725,2.725,2.64,0
378,2.725,2.725,2.64,0
379,2.725,2.725,2.64,0
380,2.725,2.725,2.64,0
381,2.725,2.725,2.64,0
382,2.725,2.725,2.64,0
383,2.725,2.725,2.64,0
384,2.725,2.725,2.64,0
385,2.725,2.725,2.64,0
386,2.725,2.725,2.64,0
387,2.725,2.725,2.64,0
388,2.725,2.725,2.64,0
389,2.725,2.725,2.64,0
390,2.725,2.725,2.64,0
391,2.725,2.725,2.64,0
392,2.725,2.725,2.64,0
393,2.725,2.725,2.64,0
394,2.725,2.725,2.64,0
395,2.725,2.725,2.64,0
396,2.725,2.725,2.64,0
397,2.725,2.725,2.64,0
398,2.725,2.725,2.64,0
399,2.725,2.725,2.64,0
400,2.725,2.725,2.64,0
401,2.725,2.725,2.64,0
402,2.725,2.725,2.64,0
403,2.725,2.725,2.64,0
404,2.725,2.725,2.64,0
405,2.725,2.725,2.64,0
406,2.725,2.725,2.64,0
407,2.725,2.725,2.64,0
408,2.725,2.725,2.64,0
409,2.725,2.725,2.64,0
410,2.725,2.725,2.64,0
411,2.725,2.725,2.64,0
412,2.725,2.725,2.64,0
413,2.725,2.725,2.64,0
414,2.725,2.725,2.64,0
415,2.725,2.725,2.64,0
416,2.725,2.725,2.64,0
417,2.725,2.725,2.64,0
418,2.725,2.725,2.64,0
419,2.725,2.725,2.64,0
420,2.725,2.725,2.64,0
421,2.725,2.725,2.64,0
422,2.725,2.725,2.64,0
423,2.725,2.725,2.64,0
424,2.725,2.725,2.64,0
425,2.725,2.725,2.64,0
426,2.725,2.725,2.64,0
427,2.725,2.725,2.64,0
428,2.725,2.725,2.64,0
429,2.725,2.725,2.64,0
430,2.725,2.725,2.64,0
431,2.725,2.725,2.64,0
432,2.725,2.725,2.64,0
433,2.725,2.725,2.64,0
