Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC
2020,64,0.732,0.716666667,0.321333333,0.427373333,2021,64,0.621,0.044333333,0.759666667,0.983206667,2022,64,0.101,0.169333333,0.703,0.877693333
2020,65,0.788666667,0.813,0.553666667,0.736376667,2021,65,0.599,0.131666667,0.827333333,1,2022,65,0.198333333,0.161,0.799666667,0.968576667
2020,66,0.755,0.849,0.676666667,0.899966667,2021,66,0.590333333,0.182333333,0.85,1,2022,66,0.304333333,0.124333333,0.862,1
2020,67,0.679333333,0.882,0.727666667,0.944246667,2021,67,0.55,0.193666667,0.844333333,1,2022,67,0.365333333,0.07,0.872333333,1
2020,68,0.637666667,0.904333333,0.766,0.985423333,2021,68,0.597333333,0.208666667,0.829666667,1,2022,68,0.421666667,0.040333333,0.862333333,1
2020,69,0.629666667,0.918333333,0.756666667,0.98498,2021,69,0.627,0.212333333,0.793,1,2022,69,0.455,0.025,0.828,1
2020,70,0.602,0.928666667,0.692666667,0.921246667,2021,70,0.572,0.203666667,0.720333333,0.958043333,2022,70,0.46,0.019,0.722666667,0.943306667
2020,71,0.528666667,0.923,0.551666667,0.733716667,2021,71,0.462666667,0.193666667,0.582666667,0.774946667,2022,71,0.430666667,0.019,0.472666667,0.628646667
2020,72,0.486333333,0.913333333,0.203333333,0.270433333,2021,72,0.418666667,0.318,0.233666667,0.310776667,2022,72,0.53,0.033333333,0.081,0.10773
2020,73,0.488333333,0.903333333,0,0,2021,73,0.411,0.528,0,0,2022,73,0.692,0.043666667,0,0
2020,74,0.443333333,0.884666667,0,0,2021,74,0.480666667,0.705333333,0,0,2022,74,0.806,0.051666667,0,0
2020,75,0.384,0.870666667,0,0,2021,75,0.650333333,0.781666667,0,0,2022,75,0.864,0.067,0,0
